Date,Open,High,Low,Close,Adj Close,Volume
2020-02-20,8.870275,9.015430,8.455193,8.901761,8.901761,1908879598
2020-02-21,8.893784,9.836817,8.824760,9.433291,9.433291,2112160851
2020-02-22,9.446776,9.718369,9.364880,9.522426,9.522426,1724873519
2020-02-23,9.520007,9.902921,9.483399,9.734655,9.734655,1745180316
2020-02-24,9.734860,9.742035,9.079782,9.343099,9.343099,1691831980
2020-02-25,9.341053,9.410197,9.043933,9.259240,9.259240,1633614475
2020-02-26,9.246322,9.332023,7.417233,7.680284,7.680284,2112171651
2020-02-27,7.681657,8.036629,7.374398,7.684705,7.684705,1837427407
2020-02-28,7.683617,7.835625,7.226973,7.437551,7.437551,1543271139
2020-02-29,7.433643,7.645356,7.356271,7.407480,7.407480,1233126528
2020-03-01,7.402571,7.898722,7.401046,7.762578,7.762578,1537094856
2020-03-02,7.757080,8.591571,7.724370,8.400864,8.400864,1891308432
2020-03-03,8.396213,8.590118,8.197601,8.497457,8.497457,1872178655
2020-03-04,8.482597,8.516426,7.763909,7.952631,7.952631,1806626129
2020-03-05,7.953510,8.406984,7.953510,8.199104,8.199104,1723095648
2020-03-06,8.195698,8.299028,8.003278,8.195196,8.195196,1574406336
2020-03-07,8.195663,8.198650,7.805706,7.819402,7.819402,1346672682
2020-03-08,7.820751,7.820751,6.412484,6.493784,6.493784,1587136599
2020-03-09,6.479633,7.012547,6.444104,6.925570,6.925570,2021714080
2020-03-10,6.935927,6.940985,6.653442,6.811056,6.811056,1364787040
2020-03-11,6.812731,6.872024,6.208826,6.577289,6.577289,1481692353
2020-03-12,6.576816,6.594697,3.960300,3.963946,3.963946,1769379392
2020-03-13,3.938297,5.135183,3.304458,4.846123,4.846123,2669299626
2020-03-14,4.844975,4.922265,4.532841,4.625739,4.625739,1355484541
2020-03-15,4.623883,5.218995,4.561129,5.056345,5.056345,1312008231
2020-03-16,5.056654,5.057734,4.144310,4.448968,4.448968,1574944808
2020-03-17,4.454576,4.797917,4.417815,4.526495,4.526495,1398800637
2020-03-18,4.510231,4.574883,4.379912,4.472723,4.472723,1283190471
2020-03-19,4.473411,5.243292,4.457869,5.058727,5.058727,1684507153
2020-03-20,5.063659,5.459975,4.652728,4.925813,4.925813,1881649280
2020-03-21,4.911019,5.111727,4.731938,5.010636,5.010636,1687706452
2020-03-22,5.012509,5.219945,4.606094,4.618293,4.618293,1760932486
2020-03-23,4.618293,4.969144,4.590153,4.950095,4.950095,1828322375
2020-03-24,4.939981,5.176985,4.882306,5.064876,5.064876,1775927077
2020-03-25,5.064794,5.240423,4.917351,5.022736,5.022736,1801753591
2020-03-26,5.023456,5.094900,4.935123,5.078555,5.078555,1441482949
2020-03-27,5.080045,5.187206,4.999923,5.020266,5.020266,1338792020
2020-03-28,5.017705,5.017705,4.685852,4.809776,4.809776,1463133172
2020-03-29,4.809484,5.068387,4.785679,4.842807,4.842807,1402356921
2020-03-30,null,null,null,null,null,null
2020-03-31,4.964888,4.992444,4.938882,4.959155,4.959155,1428583552
